,R2,P0,W0
2016-10-08 04:19:37,0.429,0.0,0.857
2016-10-08 04:20:38,0.429,0.0,0.857
2016-10-08 04:21:39,0.429,0.0,0.857
2016-10-08 04:22:41,0.429,0.0,0.857
2016-10-08 04:23:42,0.429,0.0,0.857
2016-10-08 04:24:44,0.429,0.0,0.857
2016-10-08 04:25:46,0.429,0.0,0.857
2016-10-08 04:26:47,0.429,0.0,0.857
2016-10-08 04:27:49,0.429,0.0,0.857
2016-10-08 04:28:50,0.429,0.0,0.857
2016-10-08 04:29:52,0.429,0.0,0.857
2016-10-08 04:30:53,0.429,1.0,0.286
2016-10-08 04:31:55,0.429,1.0,0.286
2016-10-08 04:32:56,0.429,1.0,0.286
2016-10-08 04:33:57,0.429,1.0,0.286
2016-10-08 04:34:58,0.429,1.0,0.286
2016-10-08 04:35:59,0.429,1.0,0.286
2016-10-08 04:37:00,0.429,1.0,0.286
2016-10-08 04:38:01,0.429,1.0,0.286
2016-10-08 04:39:02,0.429,1.0,0.286
2016-10-08 04:40:04,0.429,1.0,0.286
2016-10-08 04:41:06,0.429,1.0,0.286
2016-10-08 04:42:07,0.429,1.0,0.286
2016-10-08 04:43:08,0.429,1.0,0.286
2016-10-08 04:44:09,0.429,1.0,0.286
2016-10-08 04:45:11,0.143,0.0,0.857
2016-10-08 04:46:13,0.143,0.0,0.857
2016-10-08 04:47:15,0.143,0.0,0.857
2016-10-08 04:48:16,0.143,0.0,0.857
2016-10-08 04:49:18,0.143,0.0,0.857
2016-10-08 04:50:19,0.143,0.0,0.857
2016-10-08 04:51:21,0.143,0.0,0.857
2016-10-08 04:52:23,0.143,0.0,0.857
2016-10-08 04:53:24,0.143,0.0,0.857
2016-10-08 04:54:26,0.143,0.0,0.857
2016-10-08 04:55:27,0.143,0.0,0.857
2016-10-08 04:56:29,0.143,0.0,0.857
2016-10-08 04:57:31,0.143,0.0,0.857
2016-10-08 04:58:32,0.143,0.0,0.857
2016-10-08 04:59:33,0.143,0.0,0.857
2016-10-08 05:00:34,0.286,0.0,0.714
2016-10-08 05:01:35,0.286,0.0,0.714
2016-10-08 05:02:37,0.286,0.0,0.714
2016-10-08 05:03:38,0.286,0.0,0.714
2016-10-08 05:04:40,0.286,0.0,0.714
2016-10-08 05:05:41,0.286,0.0,0.714
2016-10-08 05:06:42,0.286,0.0,0.714
2016-10-08 05:07:43,0.286,0.0,0.714
2016-10-08 05:08:44,0.286,0.0,0.714
2016-10-08 05:09:45,0.286,0.0,0.714
2016-10-08 05:10:47,0.286,0.0,0.714
2016-10-08 05:11:49,0.286,0.0,0.714
2016-10-08 05:12:50,0.286,0.0,0.714
2016-10-08 05:13:51,0.286,0.0,0.714
2016-10-08 05:14:52,0.286,0.0,0.714
2016-10-08 05:15:53,0.429,1.0,0.143
2016-10-08 05:16:54,0.429,1.0,0.143
2016-10-08 05:17:56,0.429,1.0,0.143
2016-10-08 05:18:57,0.429,1.0,0.143
2016-10-08 05:19:59,0.429,1.0,0.143
2016-10-08 05:21:00,0.429,1.0,0.143
2016-10-08 05:22:01,0.429,1.0,0.143
2016-10-08 05:23:02,0.429,1.0,0.143
2016-10-08 05:24:03,0.429,1.0,0.143
2016-10-08 05:25:04,0.429,1.0,0.143
2016-10-08 05:26:05,0.429,1.0,0.143
2016-10-08 05:27:07,0.429,1.0,0.143
2016-10-08 05:28:08,0.429,1.0,0.143
2016-10-08 05:29:09,0.429,1.0,0.143
2016-10-08 05:30:10,0.429,1.0,0.571
2016-10-08 05:31:11,0.429,1.0,0.571
2016-10-08 05:32:12,0.429,1.0,0.571
2016-10-08 05:33:13,0.429,1.0,0.571
2016-10-08 05:34:14,0.429,1.0,0.571
2016-10-08 05:35:15,0.429,1.0,0.571
2016-10-08 05:36:16,0.429,1.0,0.571
2016-10-08 05:37:17,0.429,1.0,0.571
2016-10-08 05:38:18,0.429,1.0,0.571
2016-10-08 05:39:20,0.429,1.0,0.571
2016-10-08 05:40:21,0.429,1.0,0.571
2016-10-08 05:41:22,0.429,1.0,0.571
2016-10-08 05:42:23,0.429,1.0,0.571
2016-10-08 05:43:24,0.429,1.0,0.571
2016-10-08 05:44:25,0.429,1.0,0.571
2016-10-08 05:45:26,0.0,1.0,1.0
2016-10-08 05:46:28,0.0,1.0,1.0
2016-10-08 05:47:30,0.0,1.0,1.0
2016-10-08 05:48:31,0.0,1.0,1.0
2016-10-08 05:49:32,0.0,1.0,1.0
2016-10-08 05:50:33,0.0,1.0,1.0
2016-10-08 05:51:34,0.0,1.0,1.0
2016-10-08 05:52:35,0.0,1.0,1.0
2016-10-08 05:53:36,0.0,1.0,1.0
2016-10-08 05:54:37,0.0,1.0,1.0
2016-10-08 05:55:38,0.0,1.0,1.0
2016-10-08 05:56:39,0.0,1.0,1.0
2016-10-08 05:57:40,0.0,1.0,1.0
2016-10-08 05:58:41,0.0,1.0,1.0
2016-10-08 05:59:42,0.0,1.0,1.0
2016-10-08 06:00:43,0.286,0.0,0.571
2016-10-08 06:01:44,0.286,0.0,0.571
2016-10-08 06:02:45,0.286,0.0,0.571
2016-10-08 06:03:46,0.286,0.0,0.571
2016-10-08 06:04:48,0.286,0.0,0.571
2016-10-08 06:05:49,0.286,0.0,0.571
2016-10-08 06:06:50,0.286,0.0,0.571
2016-10-08 06:07:51,0.286,0.0,0.571
2016-10-08 06:08:52,0.286,0.0,0.571
2016-10-08 06:09:53,0.286,0.0,0.571
2016-10-08 06:10:54,0.286,0.0,0.571
2016-10-08 06:11:55,0.286,0.0,0.571
2016-10-08 06:12:56,0.286,0.0,0.571
2016-10-08 06:13:57,0.286,0.0,0.571
2016-10-08 06:14:58,0.286,0.0,0.571
2016-10-08 06:15:59,0.429,1.0,0.0
2016-10-08 06:17:00,0.429,1.0,0.0
2016-10-08 06:18:01,0.429,1.0,0.0
2016-10-08 06:19:02,0.429,1.0,0.0
2016-10-08 06:20:03,0.429,1.0,0.0
2016-10-08 06:21:04,0.429,1.0,0.0
2016-10-08 06:22:05,0.429,1.0,0.0
2016-10-08 06:23:06,0.429,1.0,0.0
2016-10-08 06:24:07,0.429,1.0,0.0
2016-10-08 06:25:08,0.429,1.0,0.0
2016-10-08 06:26:09,0.429,1.0,0.0
2016-10-08 06:27:10,0.429,1.0,0.0
2016-10-08 06:28:11,0.429,1.0,0.0
2016-10-08 06:29:12,0.429,1.0,0.0
2016-10-08 06:30:13,0.429,1.0,0.286
2016-10-08 06:31:14,0.429,1.0,0.286
2016-10-08 06:32:15,0.429,1.0,0.286
2016-10-08 06:33:16,0.429,1.0,0.286
2016-10-08 06:34:17,0.429,1.0,0.286
2016-10-08 06:35:18,0.429,1.0,0.286
2016-10-08 06:36:19,0.429,1.0,0.286
2016-10-08 06:37:20,0.429,1.0,0.286
2016-10-08 06:38:21,0.429,1.0,0.286
2016-10-08 06:39:22,0.429,1.0,0.286
2016-10-08 06:40:23,0.429,1.0,0.286
2016-10-08 06:41:24,0.429,1.0,0.286
2016-10-08 06:42:25,0.429,1.0,0.286
2016-10-08 06:43:26,0.429,1.0,0.286
2016-10-08 06:44:27,0.429,1.0,0.286
2016-10-08 06:45:28,0.143,1.0,0.143
2016-10-08 06:46:29,0.143,1.0,0.143
2016-10-08 06:47:30,0.143,1.0,0.143
2016-10-08 06:48:31,0.143,1.0,0.143
2016-10-08 06:49:32,0.143,1.0,0.143
2016-10-08 06:50:33,0.143,1.0,0.143
2016-10-08 06:51:34,0.143,1.0,0.143
2016-10-08 06:52:35,0.143,1.0,0.143
2016-10-08 06:53:36,0.143,1.0,0.143
2016-10-08 06:54:37,0.143,1.0,0.143
2016-10-08 06:55:38,0.143,1.0,0.143
2016-10-08 06:56:39,0.143,1.0,0.143
2016-10-08 06:57:40,0.143,1.0,0.143
2016-10-08 06:58:41,0.143,1.0,0.143
2016-10-08 06:59:42,0.143,1.0,0.143
2016-10-08 07:00:43,0.714,0.0,0.286
2016-10-08 07:01:44,0.714,0.0,0.286
2016-10-08 07:02:46,0.714,0.0,0.286
2016-10-08 07:03:47,0.714,0.0,0.286
2016-10-08 07:04:48,0.714,0.0,0.286
2016-10-08 07:05:49,0.714,0.0,0.286
2016-10-08 07:06:50,0.714,0.0,0.286
2016-10-08 07:07:51,0.714,0.0,0.286
2016-10-08 07:08:52,0.714,0.0,0.286
2016-10-08 07:09:53,0.714,0.0,0.286
2016-10-08 07:10:54,0.714,0.0,0.286
2016-10-08 07:11:55,0.714,0.0,0.286
2016-10-08 07:12:56,0.714,0.0,0.286
2016-10-08 07:13:57,0.714,0.0,0.286
2016-10-08 07:14:58,0.714,0.0,0.286
2016-10-08 07:15:59,0.429,0.0,0.714
2016-10-08 07:17:00,0.429,0.0,0.714
2016-10-08 07:18:01,0.429,0.0,0.714
2016-10-08 07:19:02,0.429,0.0,0.714
2016-10-08 07:20:03,0.429,0.0,0.714
2016-10-08 07:21:04,0.429,0.0,0.714
2016-10-08 07:22:05,0.429,0.0,0.714
2016-10-08 07:23:06,0.429,0.0,0.714
2016-10-08 07:24:08,0.429,0.0,0.714
2016-10-08 07:25:09,0.429,0.0,0.714
2016-10-08 07:26:10,0.429,0.0,0.714
2016-10-08 07:27:11,0.429,0.0,0.714
2016-10-08 07:28:12,0.429,0.0,0.714
2016-10-08 07:29:13,0.429,0.0,0.714
2016-10-08 07:30:14,0.429,0.0,0.714
2016-10-08 07:31:15,0.429,0.0,0.714
2016-10-08 07:32:16,0.429,0.0,0.714
2016-10-08 07:33:17,0.429,0.0,0.714
2016-10-08 07:34:18,0.429,0.0,0.714
2016-10-08 07:35:19,0.429,0.0,0.714
2016-10-08 07:36:20,0.429,0.0,0.714
2016-10-08 07:37:21,0.429,0.0,0.714
2016-10-08 07:38:22,0.429,0.0,0.714
2016-10-08 07:39:23,0.429,0.0,0.714
2016-10-08 07:40:24,0.429,0.0,0.714
2016-10-08 07:41:25,0.429,0.0,0.714
2016-10-08 07:42:26,0.429,0.0,0.714
2016-10-08 07:43:27,0.429,0.0,0.714
2016-10-08 07:44:28,0.429,0.0,0.714
2016-10-08 07:45:29,0.429,0.0,0.0
2016-10-08 07:46:30,0.429,0.0,0.0
2016-10-08 07:47:31,0.429,0.0,0.0
2016-10-08 07:48:32,0.429,0.0,0.0
2016-10-08 07:49:33,0.429,0.0,0.0
2016-10-08 07:50:34,0.429,0.0,0.0
2016-10-08 07:51:35,0.429,0.0,0.0
2016-10-08 07:52:36,0.429,0.0,0.0
2016-10-08 07:53:38,0.429,0.0,0.0
2016-10-08 07:54:39,0.429,0.0,0.0
2016-10-08 07:55:40,0.429,0.0,0.0
2016-10-08 07:56:41,0.429,0.0,0.0
2016-10-08 07:57:42,0.429,0.0,0.0
2016-10-08 07:58:43,0.429,0.0,0.0
2016-10-08 07:59:44,0.429,0.0,0.0
2016-10-08 08:00:45,0.286,0.0,1.0
2016-10-08 08:01:46,0.286,0.0,1.0
2016-10-08 08:02:47,0.286,0.0,1.0
2016-10-08 08:03:48,0.286,0.0,1.0
2016-10-08 08:04:49,0.286,0.0,1.0
2016-10-08 08:05:50,0.286,0.0,1.0
2016-10-08 08:06:51,0.286,0.0,1.0
2016-10-08 08:07:52,0.286,0.0,1.0
2016-10-08 08:08:53,0.286,0.0,1.0
2016-10-08 08:09:54,0.286,0.0,1.0
2016-10-08 08:10:55,0.286,0.0,1.0
2016-10-08 08:11:56,0.286,0.0,1.0
2016-10-08 08:12:57,0.286,0.0,1.0
2016-10-08 08:13:58,0.286,0.0,1.0
2016-10-08 08:14:59,0.286,0.0,1.0
2016-10-08 08:16:00,0.286,0.0,0.286
2016-10-08 08:17:01,0.286,0.0,0.286
2016-10-08 08:18:02,0.286,0.0,0.286
2016-10-08 08:19:03,0.286,0.0,0.286
2016-10-08 08:20:04,0.286,0.0,0.286
2016-10-08 08:21:05,0.286,0.0,0.286
2016-10-08 08:22:06,0.286,0.0,0.286
2016-10-08 08:23:07,0.286,0.0,0.286
2016-10-08 08:24:08,0.286,0.0,0.286
2016-10-08 08:25:09,0.286,0.0,0.286
2016-10-08 08:26:10,0.286,0.0,0.286
2016-10-08 08:27:11,0.286,0.0,0.286
2016-10-08 08:28:12,0.286,0.0,0.286
2016-10-08 08:29:13,0.286,0.0,0.286
2016-10-08 08:30:14,0.429,0.0,1.0
2016-10-08 08:31:15,0.429,0.0,1.0
2016-10-08 08:32:16,0.429,0.0,1.0
2016-10-08 08:33:17,0.429,0.0,1.0
2016-10-08 08:34:18,0.429,0.0,1.0
2016-10-08 08:35:19,0.429,0.0,1.0
2016-10-08 08:36:20,0.429,0.0,1.0
2016-10-08 08:37:21,0.429,0.0,1.0
2016-10-08 08:38:22,0.429,0.0,1.0
2016-10-08 08:39:23,0.429,0.0,1.0
2016-10-08 08:40:24,0.429,0.0,1.0
2016-10-08 08:41:25,0.429,0.0,1.0
2016-10-08 08:42:26,0.429,0.0,1.0
2016-10-08 08:43:27,0.429,0.0,1.0
2016-10-08 08:44:28,0.429,0.0,1.0
2016-10-08 08:45:29,0.0,0.0,0.857
2016-10-08 08:46:30,0.0,0.0,0.857
2016-10-08 08:47:31,0.0,0.0,0.857
2016-10-08 08:48:33,0.0,0.0,0.857
2016-10-08 08:49:34,0.0,0.0,0.857
2016-10-08 08:50:35,0.0,0.0,0.857
2016-10-08 08:51:37,0.0,0.0,0.857
2016-10-08 08:52:38,0.0,0.0,0.857
2016-10-08 08:53:39,0.0,0.0,0.857
2016-10-08 08:54:40,0.0,0.0,0.857
2016-10-08 08:55:41,0.0,0.0,0.857
2016-10-08 08:56:42,0.0,0.0,0.857
2016-10-08 08:57:43,0.0,0.0,0.857
2016-10-08 08:58:44,0.0,0.0,0.857
2016-10-08 08:59:45,0.0,0.0,0.857
2016-10-08 09:00:46,0.286,0.0,0.286
2016-10-08 09:01:47,0.286,0.0,0.286
2016-10-08 09:02:48,0.286,0.0,0.286
2016-10-08 09:03:49,0.286,0.0,0.286
2016-10-08 09:04:50,0.286,0.0,0.286
2016-10-08 09:05:51,0.286,0.0,0.286
2016-10-08 09:06:52,0.286,0.0,0.286
2016-10-08 09:07:53,0.286,0.0,0.286
2016-10-08 09:08:54,0.286,0.0,0.286
2016-10-08 09:09:56,0.286,0.0,0.286
2016-10-08 09:10:58,0.286,0.0,0.286
2016-10-08 09:11:59,0.286,0.0,0.286
2016-10-08 09:13:00,0.286,0.0,0.286
2016-10-08 09:14:01,0.286,0.0,0.286
2016-10-08 09:15:02,0.429,0.0,1.0
2016-10-08 09:16:03,0.429,0.0,1.0
2016-10-08 09:17:04,0.429,0.0,1.0
2016-10-08 09:18:05,0.429,0.0,1.0
2016-10-08 09:19:06,0.429,0.0,1.0
2016-10-08 09:20:07,0.429,0.0,1.0
2016-10-08 09:21:08,0.429,0.0,1.0
2016-10-08 09:22:09,0.429,0.0,1.0
2016-10-08 09:23:10,0.429,0.0,1.0
2016-10-08 09:24:12,0.429,0.0,1.0
2016-10-08 09:25:13,0.429,0.0,1.0
2016-10-08 09:26:14,0.429,0.0,1.0
2016-10-08 09:27:15,0.429,0.0,1.0
2016-10-08 09:28:16,0.429,0.0,1.0
2016-10-08 09:29:17,0.429,0.0,1.0
2016-10-08 09:30:18,1.0,1.0,0.857
2016-10-08 09:31:19,1.0,1.0,0.857
2016-10-08 09:32:20,1.0,1.0,0.857
