,O1,O2,O3,O4,O6,O7,O8,O10,O11
2014-07-05 12:30:55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:31:56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:32:58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:34:10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:35:21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:36:31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:37:39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:38:46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:39:51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:40:54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:41:55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:43:05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:44:12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:45:18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:46:23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:47:26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:48:27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:49:28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:50:36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:51:43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:52:48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:53:53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:54:57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:56:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:57:02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:58:03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 12:59:04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 13:00:11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 13:01:18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 13:02:24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 13:03:29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 13:04:34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-07-05 13:05:39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777481425567688
2014-07-05 13:06:43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777481425567688
2014-07-05 13:07:46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777481425567688
2014-07-05 13:08:50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777481425567688
2014-07-05 13:09:53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777481425567688
2014-07-05 13:10:56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9177983648892569,0.9551139861340152
2014-07-05 13:11:58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9177983648892569,0.9551139861340152
2014-07-05 13:13:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9177983648892569,0.9551139861340152
2014-07-05 13:14:01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9177983648892569,0.9551139861340152
2014-07-05 13:15:09,1.0,1.0,1.0,1.0,1.0,1.0,0.9996727269767771,0.8513275483895404,0.9367105848213844
2014-07-05 13:16:10,1.0,1.0,1.0,1.0,1.0,1.0,0.9996727269767771,0.8513275483895404,0.9367105848213844
2014-07-05 13:17:12,1.0,1.0,1.0,1.0,1.0,1.0,0.9996727269767771,0.8513275483895404,0.9367105848213844
2014-07-05 13:18:13,1.0,1.0,1.0,1.0,1.0,1.0,0.9996727269767771,0.8513275483895404,0.9367105848213844
2014-07-05 13:19:14,1.0,1.0,1.0,1.0,1.0,1.0,0.9996727269767771,0.8513275483895404,0.9367105848213844
2014-07-05 13:20:15,1.0,1.0,1.0,1.0,1.0,1.0,0.9863204223051117,0.8019253357801658,0.9165127842318437
2014-07-05 13:21:16,1.0,1.0,1.0,1.0,1.0,1.0,0.9863204223051117,0.8019253357801658,0.9165127842318437
2014-07-05 13:22:18,1.0,1.0,1.0,1.0,1.0,1.0,0.9863204223051117,0.8019253357801658,0.9165127842318437
2014-07-05 13:23:19,1.0,1.0,1.0,1.0,1.0,1.0,0.9863204223051117,0.8019253357801658,0.9165127842318437
2014-07-05 13:24:20,1.0,1.0,1.0,1.0,1.0,1.0,0.9863204223051117,0.8019253357801658,0.9165127842318437
2014-07-05 13:25:22,1.0,1.0,1.0,1.0,1.0,1.0,0.9724545845816323,0.7608239617210305,0.8948158756570083
2014-07-05 13:26:24,1.0,1.0,1.0,1.0,1.0,1.0,0.9724545845816323,0.7608239617210305,0.8948158756570083
2014-07-05 13:27:25,1.0,1.0,1.0,1.0,1.0,1.0,0.9724545845816323,0.7608239617210305,0.8948158756570083
2014-07-05 13:28:27,1.0,1.0,1.0,1.0,1.0,1.0,0.9724545845816323,0.7608239617210305,0.8948158756570083
2014-07-05 13:29:29,1.0,1.0,1.0,1.0,1.0,1.0,0.9724545845816323,0.7608239617210305,0.8948158756570083
2014-07-05 13:30:31,1.0,1.0,1.0,1.0,0.9977501185607752,1.0,0.9587307923213637,0.7246371869490845,0.8721242162321966
2014-07-05 13:31:33,1.0,1.0,1.0,1.0,0.9977501185607752,1.0,0.9587307923213637,0.7246371869490845,0.8721242162321966
2014-07-05 13:32:36,1.0,1.0,1.0,1.0,0.9977501185607752,1.0,0.9587307923213637,0.7246371869490845,0.8721242162321966
2014-07-05 13:33:38,1.0,1.0,1.0,1.0,0.9977501185607752,1.0,0.9587307923213637,0.7246371869490845,0.8721242162321966
2014-07-05 13:34:42,1.0,1.0,1.0,1.0,0.9977501185607752,1.0,0.9587307923213637,0.7246371869490845,0.8721242162321966
2014-07-05 13:35:46,1.0,1.0,1.0,1.0,0.9583910629776726,1.0,0.9456228726706513,0.6927225974767546,0.8492525801563731
2014-07-05 13:36:50,1.0,1.0,1.0,1.0,0.9583910629776726,1.0,0.9456228726706513,0.6927225974767546,0.8492525801563731
2014-07-05 13:37:55,1.0,1.0,1.0,1.0,0.9583910629776726,1.0,0.9456228726706513,0.6927225974767546,0.8492525801563731
2014-07-05 13:39:01,1.0,1.0,1.0,1.0,0.9583910629776726,1.0,0.9456228726706513,0.6927225974767546,0.8492525801563731
2014-07-05 13:40:14,1.0,1.0,1.0,1.0,0.9229009120754411,1.0,0.935445744008896,0.6635134625514068,0.8257142808639617
2014-07-05 13:41:21,1.0,1.0,1.0,1.0,0.9229009120754411,1.0,0.935445744008896,0.6635134625514068,0.8257142808639617
2014-07-05 13:42:28,1.0,1.0,1.0,1.0,0.9229009120754411,1.0,0.935445744008896,0.6635134625514068,0.8257142808639617
2014-07-05 13:43:36,1.0,1.0,1.0,1.0,0.9229009120754411,1.0,0.935445744008896,0.6635134625514068,0.8257142808639617
2014-07-05 13:44:44,1.0,1.0,1.0,1.0,0.9229009120754411,1.0,0.935445744008896,0.6635134625514068,0.8257142808639617
2014-07-05 13:45:45,1.0,1.0,1.0,1.0,0.8907933138767755,1.0,0.9273919872458168,0.6372282512715535,0.8018801139410274
2014-07-05 13:46:46,1.0,1.0,1.0,1.0,0.8907933138767755,1.0,0.9273919872458168,0.6372282512715535,0.8018801139410274
2014-07-05 13:47:48,1.0,1.0,1.0,1.0,0.8907933138767755,1.0,0.9273919872458168,0.6372282512715535,0.8018801139410274
2014-07-05 13:48:51,1.0,1.0,1.0,1.0,0.8907933138767755,1.0,0.9273919872458168,0.6372282512715535,0.8018801139410274
2014-07-05 13:49:53,1.0,1.0,1.0,1.0,0.8907933138767755,1.0,0.9273919872458168,0.6372282512715535,0.8018801139410274
2014-07-05 13:50:56,1.0,1.0,1.0,1.0,0.8585369695711691,1.0,0.9188249822839288,0.6134756053230663,0.7779607479476751
2014-07-05 13:52:00,1.0,1.0,1.0,1.0,0.8585369695711691,1.0,0.9188249822839288,0.6134756053230663,0.7779607479476751
2014-07-05 13:53:04,1.0,1.0,1.0,1.0,0.8585369695711691,1.0,0.9188249822839288,0.6134756053230663,0.7779607479476751
2014-07-05 13:54:08,1.0,1.0,1.0,1.0,0.8585369695711691,1.0,0.9188249822839288,0.6134756053230663,0.7779607479476751
2014-07-05 13:55:13,1.0,1.0,1.0,1.0,0.8314704685429148,1.0,0.9038265416947447,0.5907830102529339,0.7531129569006846
2014-07-05 13:56:19,1.0,1.0,1.0,1.0,0.8314704685429148,1.0,0.9038265416947447,0.5907830102529339,0.7531129569006846
2014-07-05 13:57:24,1.0,1.0,1.0,1.0,0.8314704685429148,1.0,0.9038265416947447,0.5907830102529339,0.7531129569006846
2014-07-05 13:58:30,1.0,1.0,1.0,1.0,0.8314704685429148,1.0,0.9038265416947447,0.5907830102529339,0.7531129569006846
2014-07-05 13:59:37,1.0,1.0,1.0,1.0,0.8314704685429148,1.0,0.9038265416947447,0.5907830102529339,0.7531129569006846
2014-07-05 14:00:44,0.9902822808031647,1.0,1.0,1.0,0.8074939023530631,1.0,0.8809260534253577,0.5702503353273337,0.729070931775132
2014-07-05 14:01:51,0.9902822808031647,1.0,1.0,1.0,0.8074939023530631,1.0,0.8809260534253577,0.5702503353273337,0.729070931775132
2014-07-05 14:02:59,0.9902822808031647,1.0,1.0,1.0,0.8074939023530631,1.0,0.8809260534253577,0.5702503353273337,0.729070931775132
2014-07-05 14:04:06,0.9902822808031647,1.0,1.0,1.0,0.8074939023530631,1.0,0.8809260534253577,0.5702503353273337,0.729070931775132
2014-07-05 14:05:15,0.9535105695729089,1.0,1.0,1.0,0.7845594192333579,1.0,0.8530922330788656,0.5506971361000209,0.7049701495428793
2014-07-05 14:06:23,0.9535105695729089,1.0,1.0,1.0,0.7845594192333579,1.0,0.8530922330788656,0.5506971361000209,0.7049701495428793
2014-07-05 14:07:32,0.9535105695729089,1.0,1.0,1.0,0.7845594192333579,1.0,0.8530922330788656,0.5506971361000209,0.7049701495428793
2014-07-05 14:08:33,0.9535105695729089,1.0,1.0,1.0,0.7845594192333579,1.0,0.8530922330788656,0.5506971361000209,0.7049701495428793
2014-07-05 14:09:42,0.9535105695729089,1.0,1.0,1.0,0.7845594192333579,1.0,0.8530922330788656,0.5506971361000209,0.7049701495428793
2014-07-05 14:10:43,0.9183032097524843,1.0,1.0,1.0,0.7628267381357202,1.0,0.8221327647390889,0.5325065548299293,0.6812030640464327
2014-07-05 14:11:44,0.9183032097524843,1.0,1.0,1.0,0.7628267381357202,1.0,0.8221327647390889,0.5325065548299293,0.6812030640464327
2014-07-05 14:12:45,0.9183032097524843,1.0,1.0,1.0,0.7628267381357202,1.0,0.8221327647390889,0.5325065548299293,0.6812030640464327
2014-07-05 14:13:46,0.9183032097524843,1.0,1.0,1.0,0.7628267381357202,1.0,0.8221327647390889,0.5325065548299293,0.6812030640464327
2014-07-05 14:14:47,0.9183032097524843,1.0,1.0,1.0,0.7628267381357202,1.0,0.8221327647390889,0.5325065548299293,0.6812030640464327
2014-07-05 14:15:48,0.8842507487182464,1.0,1.0,1.0,0.7417674078116654,1.0,0.7874913985529135,0.5154084101540898,0.6572563123840404
2014-07-05 14:16:50,0.8842507487182464,1.0,1.0,1.0,0.7417674078116654,1.0,0.7874913985529135,0.5154084101540898,0.6572563123840404
2014-07-05 14:17:51,0.8842507487182464,1.0,1.0,1.0,0.7417674078116654,1.0,0.7874913985529135,0.5154084101540898,0.6572563123840404
2014-07-05 14:18:52,0.8842507487182464,1.0,1.0,1.0,0.7417674078116654,1.0,0.7874913985529135,0.5154084101540898,0.6572563123840404
2014-07-05 14:19:53,0.8842507487182464,1.0,1.0,1.0,0.7417674078116654,1.0,0.7874913985529135,0.5154084101540898,0.6572563123840404
2014-07-05 14:20:54,0.8503992382163328,1.0,1.0,1.0,0.7205773097327524,1.0,0.7506090162285273,0.4988630662799883,0.6327198466340893
2014-07-05 14:21:55,0.8503992382163328,1.0,1.0,1.0,0.7205773097327524,1.0,0.7506090162285273,0.4988630662799883,0.6327198466340893
2014-07-05 14:22:56,0.8503992382163328,1.0,1.0,1.0,0.7205773097327524,1.0,0.7506090162285273,0.4988630662799883,0.6327198466340893
2014-07-05 14:23:57,0.8503992382163328,1.0,1.0,1.0,0.7205773097327524,1.0,0.7506090162285273,0.4988630662799883,0.6327198466340893
2014-07-05 14:25:14,0.8163091849317913,1.0,1.0,1.0,0.6988653515391213,1.0,0.7136778546546876,0.4825874631170527,0.6077037685040962
2014-07-05 14:26:23,0.8163091849317913,1.0,1.0,1.0,0.6988653515391213,1.0,0.7136778546546876,0.4825874631170527,0.6077037685040962
2014-07-05 14:27:31,0.8163091849317913,1.0,1.0,1.0,0.6988653515391213,1.0,0.7136778546546876,0.4825874631170527,0.6077037685040962
2014-07-05 14:28:39,0.8163091849317913,1.0,1.0,1.0,0.6988653515391213,1.0,0.7136778546546876,0.4825874631170527,0.6077037685040962
2014-07-05 14:29:46,0.8163091849317913,1.0,1.0,1.0,0.6988653515391213,1.0,0.7136778546546876,0.4825874631170527,0.6077037685040962
2014-07-05 14:30:53,0.7838868722569102,1.0,1.0,1.0,0.6777955939526695,1.0,0.6801642893076886,0.4673812825668907,0.5839915860447282
2014-07-05 14:31:59,0.7838868722569102,1.0,1.0,1.0,0.6777955939526695,1.0,0.6801642893076886,0.4673812825668907,0.5839915860447282
2014-07-05 14:33:05,0.7838868722569102,1.0,1.0,1.0,0.6777955939526695,1.0,0.6801642893076886,0.4673812825668907,0.5839915860447282
2014-07-05 14:34:11,0.7838868722569102,1.0,1.0,1.0,0.6777955939526695,1.0,0.6801642893076886,0.4673812825668907,0.5839915860447282
2014-07-05 14:35:17,0.7523574537082892,1.0,1.0,0.9823533110848774,0.6568899941827274,1.0,0.6489257953267754,0.45277213604429595,0.5610172136360428
2014-07-05 14:36:22,0.7523574537082892,1.0,1.0,0.9823533110848774,0.6568899941827274,1.0,0.6489257953267754,0.45277213604429595,0.5610172136360428
2014-07-05 14:37:26,0.7523574537082892,1.0,1.0,0.9823533110848774,0.6568899941827274,1.0,0.6489257953267754,0.45277213604429595,0.5610172136360428
2014-07-05 14:38:30,0.7523574537082892,1.0,1.0,0.9823533110848774,0.6568899941827274,1.0,0.6489257953267754,0.45277213604429595,0.5610172136360428
2014-07-05 14:39:34,0.7523574537082892,1.0,1.0,0.9823533110848774,0.6568899941827274,1.0,0.6489257953267754,0.45277213604429595,0.5610172136360428
2014-07-05 14:40:36,0.7122694525147119,1.0,1.0,0.9415125813033617,0.6301562373795861,1.0,0.5989192954688249,0.4345775553503202,0.5270270093106926
2014-07-05 14:41:38,0.7122694525147119,1.0,1.0,0.9415125813033617,0.6301562373795861,1.0,0.5989192954688249,0.4345775553503202,0.5270270093106926
2014-07-05 14:42:45,0.7122694525147119,1.0,1.0,0.9415125813033617,0.6301562373795861,1.0,0.5989192954688249,0.4345775553503202,0.5270270093106926
2014-07-05 14:43:52,0.7122694525147119,1.0,1.0,0.9415125813033617,0.6301562373795861,1.0,0.5989192954688249,0.4345775553503202,0.5270270093106926
2014-07-05 14:44:56,0.7122694525147119,1.0,1.0,0.9415125813033617,0.6301562373795861,1.0,0.5989192954688249,0.4345775553503202,0.5270270093106926
2014-07-05 14:46:00,0.6530427092413931,1.0,1.0,0.8857423999049293,0.5925636648103662,1.0,0.5331363191253773,0.4084085365723741,0.4757804183437939
2014-07-05 14:47:02,0.6530427092413931,1.0,1.0,0.8857423999049293,0.5925636648103662,1.0,0.5331363191253773,0.4084085365723741,0.4757804183437939
2014-07-05 14:48:05,0.6530427092413931,1.0,1.0,0.8857423999049293,0.5925636648103662,1.0,0.5331363191253773,0.4084085365723741,0.4757804183437939
2014-07-05 14:49:10,0.6530427092413931,1.0,1.0,0.8857423999049293,0.5925636648103662,1.0,0.5331363191253773,0.4084085365723741,0.4757804183437939
2014-07-05 14:50:13,0.5775044986509882,1.0,1.0,0.8118550395877677,0.551311025015233,0.8244172744415984,0.4745115226823584,0.3754647517119821,0.4192316885652349
2014-07-05 14:51:15,0.5775044986509882,1.0,1.0,0.8118550395877677,0.551311025015233,0.8244172744415984,0.4745115226823584,0.3754647517119821,0.4192316885652349
2014-07-05 14:52:21,0.5775044986509882,1.0,1.0,0.8118550395877677,0.551311025015233,0.8244172744415984,0.4745115226823584,0.3754647517119821,0.4192316885652349
2014-07-05 14:53:25,0.5775044986509882,1.0,1.0,0.8118550395877677,0.551311025015233,0.8244172744415984,0.4745115226823584,0.3754647517119821,0.4192316885652349
2014-07-05 14:54:27,0.5775044986509882,1.0,1.0,0.8118550395877677,0.551311025015233,0.8244172744415984,0.4745115226823584,0.3754647517119821,0.4192316885652349
2014-07-05 14:55:31,0.48721311195861744,0.9807424598038403,1.0,0.7152011229211531,0.5086937860065849,0.6294834491926895,0.42123189350354784,0.33413727248193065,0.3575113815557989
2014-07-05 14:56:34,0.48721311195861744,0.9807424598038403,1.0,0.7152011229211531,0.5086937860065849,0.6294834491926895,0.42123189350354784,0.33413727248193065,0.3575113815557989
2014-07-05 14:57:39,0.48721311195861744,0.9807424598038403,1.0,0.7152011229211531,0.5086937860065849,0.6294834491926895,0.42123189350354784,0.33413727248193065,0.3575113815557989
2014-07-05 14:58:43,0.48721311195861744,0.9807424598038403,1.0,0.7152011229211531,0.5086937860065849,0.6294834491926895,0.42123189350354784,0.33413727248193065,0.3575113815557989
2014-07-05 14:59:47,0.48721311195861744,0.9807424598038403,1.0,0.7152011229211531,0.5086937860065849,0.6294834491926895,0.42123189350354784,0.33413727248193065,0.3575113815557989
2014-07-05 15:00:51,0.4051866462920935,0.7954394338617838,1.0,0.6194639334910079,0.46786627225049904,0.4977338396368042,0.3726318499192088,0.29416990583799457,0.30251619756885334
2014-07-05 15:01:55,0.4051866462920935,0.7954394338617838,1.0,0.6194639334910079,0.46786627225049904,0.4977338396368042,0.3726318499192088,0.29416990583799457,0.30251619756885334
2014-07-05 15:02:59,0.4051866462920935,0.7954394338617838,1.0,0.6194639334910079,0.46786627225049904,0.4977338396368042,0.3726318499192088,0.29416990583799457,0.30251619756885334
2014-07-05 15:04:04,0.4051866462920935,0.7954394338617838,1.0,0.6194639334910079,0.46786627225049904,0.4977338396368042,0.3726318499192088,0.29416990583799457,0.30251619756885334
2014-07-05 15:05:08,0.35751421964650426,0.707828303640807,0.9571937139772431,0.5588231349325071,0.4424055921766217,0.4297479429879116,0.3468583277132377,0.2709115281051183,0.2725519133023195
2014-07-05 15:06:12,0.35751421964650426,0.707828303640807,0.9571937139772431,0.5588231349325071,0.4424055921766217,0.4297479429879116,0.3468583277132377,0.2709115281051183,0.2725519133023195
2014-07-05 15:07:16,0.35751421964650426,0.707828303640807,0.9571937139772431,0.5588231349325071,0.4424055921766217,0.4297479429879116,0.3468583277132377,0.2709115281051183,0.2725519133023195
2014-07-05 15:08:20,0.35751421964650426,0.707828303640807,0.9571937139772431,0.5588231349325071,0.4424055921766217,0.4297479429879116,0.3468583277132377,0.2709115281051183,0.2725519133023195
2014-07-05 15:09:24,0.35751421964650426,0.707828303640807,0.9571937139772431,0.5588231349325071,0.4424055921766217,0.4297479429879116,0.3468583277132377,0.2709115281051183,0.2725519133023195
2014-07-05 15:10:28,0.3390273735746118,0.6915802635884928,0.8868917383731676,0.5325655102436387,0.4314796991465598,0.4066726212024543,0.3381440485787421,0.262046383857128,0.26135055009449454
2014-07-05 15:11:32,0.3390273735746118,0.6915802635884928,0.8868917383731676,0.5325655102436387,0.4314796991465598,0.4066726212024543,0.3381440485787421,0.262046383857128,0.26135055009449454
2014-07-05 15:12:37,0.3390273735746118,0.6915802635884928,0.8868917383731676,0.5325655102436387,0.4314796991465598,0.4066726212024543,0.3381440485787421,0.262046383857128,0.26135055009449454
2014-07-05 15:13:41,0.3390273735746118,0.6915802635884928,0.8868917383731676,0.5325655102436387,0.4314796991465598,0.4066726212024543,0.3381440485787421,0.262046383857128,0.26135055009449454
2014-07-05 15:14:45,0.3390273735746118,0.6915802635884928,0.8868917383731676,0.5325655102436387,0.4314796991465598,0.4066726212024543,0.3381440485787421,0.262046383857128,0.26135055009449454
2014-07-05 15:15:49,0.3314544690422322,0.7006904903387048,0.8504148677668413,0.5202022801262898,0.4260599767462882,0.4005274231476451,0.33525808270152174,0.25848086695069705,0.2569534564593784
2014-07-05 15:16:53,0.3314544690422322,0.7006904903387048,0.8504148677668413,0.5202022801262898,0.4260599767462882,0.4005274231476451,0.33525808270152174,0.25848086695069705,0.2569534564593784
2014-07-05 15:17:58,0.3314544690422322,0.7006904903387048,0.8504148677668413,0.5202022801262898,0.4260599767462882,0.4005274231476451,0.33525808270152174,0.25848086695069705,0.2569534564593784
2014-07-05 15:19:02,0.3314544690422322,0.7006904903387048,0.8504148677668413,0.5202022801262898,0.4260599767462882,0.4005274231476451,0.33525808270152174,0.25848086695069705,0.2569534564593784
2014-07-05 15:20:07,0.32642883577396437,0.7123471529668984,0.826268389413075,0.5113605441329919,0.421971352129317,0.398756501581961,0.33361518745449886,0.25607509394511035,0.2542539343713206
2014-07-05 15:21:12,0.32642883577396437,0.7123471529668984,0.826268389413075,0.5113605441329919,0.421971352129317,0.398756501581961,0.33361518745449886,0.25607509394511035,0.2542539343713206
2014-07-05 15:22:17,0.32642883577396437,0.7123471529668984,0.826268389413075,0.5113605441329919,0.421971352129317,0.398756501581961,0.33361518745449886,0.25607509394511035,0.2542539343713206
2014-07-05 15:23:18,0.32642883577396437,0.7123471529668984,0.826268389413075,0.5113605441329919,0.421971352129317,0.398756501581961,0.33361518745449886,0.25607509394511035,0.2542539343713206
2014-07-05 15:24:19,0.32642883577396437,0.7123471529668984,0.826268389413075,0.5113605441329919,0.421971352129317,0.398756501581961,0.33361518745449886,0.25607509394511035,0.2542539343713206
2014-07-05 15:25:20,0.32256335020579036,0.7277327468519159,0.8088768279478672,0.5043674983229631,0.4186109021240275,0.3991357130024288,0.33250613837817117,0.25420924367054626,0.2523978373960485
2014-07-05 15:26:21,0.32256335020579036,0.7277327468519159,0.8088768279478672,0.5043674983229631,0.4186109021240275,0.3991357130024288,0.33250613837817117,0.25420924367054626,0.2523978373960485
2014-07-05 15:27:22,0.32256335020579036,0.7277327468519159,0.8088768279478672,0.5043674983229631,0.4186109021240275,0.3991357130024288,0.33250613837817117,0.25420924367054626,0.2523978373960485
2014-07-05 15:28:24,0.32256335020579036,0.7277327468519159,0.8088768279478672,0.5043674983229631,0.4186109021240275,0.3991357130024288,0.33250613837817117,0.25420924367054626,0.2523978373960485
2014-07-05 15:29:26,0.32256335020579036,0.7277327468519159,0.8088768279478672,0.5043674983229631,0.4186109021240275,0.3991357130024288,0.33250613837817117,0.25420924367054626,0.2523978373960485
2014-07-05 15:30:28,0.3194446784292581,0.7462221297678139,0.7959343246656216,0.49864747355983513,0.41574747912959653,0.4008034598357668,0.33164706323740295,0.2526788217986487,0.2510403611129297
2014-07-05 15:31:30,0.3194446784292581,0.7462221297678139,0.7959343246656216,0.49864747355983513,0.41574747912959653,0.4008034598357668,0.33164706323740295,0.2526788217986487,0.2510403611129297
2014-07-05 15:32:33,0.3194446784292581,0.7462221297678139,0.7959343246656216,0.49864747355983513,0.41574747912959653,0.4008034598357668,0.33164706323740295,0.2526788217986487,0.2510403611129297
2014-07-05 15:33:36,0.3194446784292581,0.7462221297678139,0.7959343246656216,0.49864747355983513,0.41574747912959653,0.4008034598357668,0.33164706323740295,0.2526788217986487,0.2510403611129297
2014-07-05 15:34:40,0.3194446784292581,0.7462221297678139,0.7959343246656216,0.49864747355983513,0.41574747912959653,0.4008034598357668,0.33164706323740295,0.2526788217986487,0.2510403611129297
2014-07-05 15:35:43,0.3168409771521406,0.7681069235471241,0.7858767750812679,0.49377972576069845,0.4131533114360158,0.40342054937248933,0.3309674501384811,0.25137518768660677,0.2500155885383
2014-07-05 15:36:47,0.3168409771521406,0.7681069235471241,0.7858767750812679,0.49377972576069845,0.4131533114360158,0.40342054937248933,0.3309674501384811,0.25137518768660677,0.2500155885383
2014-07-05 15:37:52,0.3168409771521406,0.7681069235471241,0.7858767750812679,0.49377972576069845,0.4131533114360158,0.40342054937248933,0.3309674501384811,0.25137518768660677,0.2500155885383
2014-07-05 15:38:57,0.3168409771521406,0.7681069235471241,0.7858767750812679,0.49377972576069845,0.4131533114360158,0.40342054937248933,0.3309674501384811,0.25137518768660677,0.2500155885383
2014-07-05 15:40:07,0.3146352770621767,0.7933619465336215,0.777864872365836,0.48953196591856957,0.41072115314050384,0.4066444788420353,0.3304305856260484,0.25024894607969006,0.24923790438684004
2014-07-05 15:41:13,0.3146352770621767,0.7933619465336215,0.777864872365836,0.48953196591856957,0.41072115314050384,0.4066444788420353,0.3304305856260484,0.25024894607969006,0.24923790438684004
